Servicing option,Update type,Availability date,Build,KB article
General Availability Channel,2025-03 B,2025-03-11,22621.5039,KB5053602
General Availability Channel,2025-02 D,2025-02-25,22621.4974,KB5052094
General Availability Channel,2025-02 B,2025-02-11,22621.4890,KB5051989
General Availability Channel,2025-01 D,2025-01-29,22621.4830,KB5050092
General Availability Channel,2025-01 B,2025-01-14,22621.4751,KB5050021
General Availability Channel,2024-12 B,2024-12-10,22621.4602,KB5048685
General Availability Channel,2024-11 D,2024-11-21,22621.4541,KB5046732
General Availability Channel,2024-11 B,2024-11-12,22621.4460,KB5046633
General Availability Channel,2024-10 D,2024-10-22,22621.4391,KB5044380
General Availability Channel,2024-10 B,2024-10-08,22621.4317,KB5044285
General Availability Channel,2024-09 D,2024-09-26,22621.4249,KB5043145
General Availability Channel,2024-09 B,2024-09-10,22621.4169,KB5043076
General Availability Channel,2024-08 D,2024-08-27,22621.4112,KB5041587
General Availability Channel,2024-08 B,2024-08-13,22621.4037,KB5041585
General Availability Channel,2024-07 D,2024-07-25,22621.3958,KB5040527
General Availability Channel,2024-07 B,2024-07-09,22621.3880,KB5040442
General Availability Channel,2024-06 D,2024-06-25,22621.3810,KB5039302
General Availability Channel,2024-06 B,2024-06-11,22621.3737,KB5039212
General Availability Channel,2024-05 D,2024-05-29,22621.3672,KB5037853
General Availability Channel,2024-05 B,2024-05-14,22621.3593,KB5037771
General Availability Channel,2024-04 D,2024-04-23,22621.3527,KB5036980
General Availability Channel,2024-04 B,2024-04-09,22621.3447,KB5036893
General Availability Channel,2024-03 D,2024-03-26,22621.3374,KB5035942
General Availability Channel,2024-03 B,2024-03-12,22621.3296,KB5035853
General Availability Channel,2024-02 D,2024-02-29,22621.3235,KB5034848
General Availability Channel,2024-02 B,2024-02-13,22621.3155,KB5034765
General Availability Channel,2024-01 D,2024-01-23,22621.3085,KB5034204
General Availability Channel,2024-01 B,2024-01-09,22621.3007,KB5034123
General Availability Channel,2023-12 B,2023-12-12,22621.2861,KB5033375
General Availability Channel,2023-11 D,2023-12-04,22621.2792,KB5032288
General Availability Channel,2023-11 B,2023-11-14,22621.2715,KB5032190
General Availability Channel,2023-10 D,2023-10-26,22621.2506,KB5031455
General Availability Channel,2023-10 B,2023-10-10,22621.2428,KB5031354
General Availability Channel,2023-09 D,2023-09-26,22621.2361,KB5030310
General Availability Channel,2023-09 B,2023-09-12,22621.2283,KB5030219
General Availability Channel,2023-08 D,2023-08-22,22621.2215,KB5029351
General Availability Channel,2023-08 B,2023-08-08,22621.2134,KB5029263
General Availability Channel,2023-07 D,2023-07-26,22621.2070,KB5028254
General Availability Channel,2023-07 B,2023-07-11,22621.1992,KB5028185
General Availability Channel,2023-06 D,2023-06-27,22621.1928,KB5027303
General Availability Channel,2023-06 B,2023-06-13,22621.1848,KB5027231
General Availability Channel,2023-05 D,2023-05-24,22621.1778,KB5026446
General Availability Channel,2023-05 B,2023-05-09,22621.1702,KB5026372
General Availability Channel,2023-04 D,2023-04-25,22621.1635,KB5025305
General Availability Channel,2023-04 B,2023-04-11,22621.1555,KB5025239
General Availability Channel,2023-03 D,2023-03-28,22621.1485,KB5023778
General Availability Channel,2023-03 B,2023-03-14,22621.1413,KB5023706
General Availability Channel,2023-02 D,2023-02-28,22621.1344,KB5022913
General Availability Channel,2023-02 B,2023-02-14,22621.1265,KB5022845
General Availability Channel,2023-01 D,2023-01-26,22621.1194,KB5022360
General Availability Channel,2023-01 B,2023-01-10,22621.1105,KB5022303
General Availability Channel,2022-12 B,2022-12-13,22621.963,KB5021255
General Availability Channel,2022-11 D,2022-11-29,22621.900,KB5020044
General Availability Channel,2022-11 B,2022-11-08,22621.819,KB5019980
General Availability Channel,2022-10 D,2022-10-25,22621.755,KB5018496
General Availability Channel,2022-10 OOB,2022-10-18,22621.675,KB5019509
General Availability Channel,2022-10 B,2022-10-11,22621.674,KB5018427
General Availability Channel,2022-09 D,2022-09-30,22621.608,KB5017389
General Availability Channel,2022-09 OOB,2022-09-27,22621.525,KB5019311
General Availability Channel,2022-09 C,2022-09-20,22621.521,
